"","Cluster","direction","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"48","up","up","mmu04975","Fat digestion and absorption","10/531","43/8943",0.000161595994398588,0.0041476305228971,0.00347289637084685,"17777/26569/238055/50784/69836/14719/11303/20778/110446/67470",10
"49","up","up","mmu04910","Insulin signaling pathway","20/531","139/8943",0.000193381341790838,0.00458165025165985,0.00383631001933241,"16337/105787/22084/12315/110078/110094/107476/14120/18762/16890/140491/56637/56717/18709/18747/20411/74370/19268/108079/19079",20
"50","up","up","mmu04144","Endocytosis","31/531","273/8943",0.000362351793076488,0.00760433264736437,0.00636726417841515,"75767/232227/212285/11772/16835/13196/16004/107338/66251/77038/234353/211914/80794/229285/18762/15042/105513/67300/78618/56324/17999/70160/21813/93742/347722/69091/223593/18571/211673/319277/215445",31
"51","up","up","mmu04142","Lysosome","19/531","135/8943",0.00037034087568333,0.00760433264736437,0.00636726417841515,"11765/16004/14387/16889/15587/20597/110173/11778/18145/67300/18010/15586/17939/15211/114128/20661/104082/18174/211286",19
"52","up","up","mmu00020","Citrate cycle (TCA cycle)","8/531","32/8943",0.000432943344125814,0.0080921745537723,0.00677574424358925,"12974/18293/18563/11429/11428/15926/14194/17448",8
"53","up","up","mmu04216","Ferroptosis","9/531","40/8943",0.000446645998097822,0.0080921745537723,0.00677574424358925,"74244/74205/14792/14081/68428/433256/67547/12870/18174",9
"54","up","up","mmu04979","Cholesterol metabolism","10/531","49/8943",0.000502114817297514,0.00840971606810722,0.00704162828669265,"16835/16889/238055/18145/11303/16971/20661/20778/320024/67470",10
"55","up","up","mmu04141","Protein processing in endoplasmic reticulum","22/531","172/8943",0.000518781186019601,0.00840971606810722,0.00704162828669265,"68292/56709/69608/26408/22393/20338/54609/77371/213539/218811/12333/69162/192193/20334/12304/18415/18786/66861/57377/12915/15516/63958",22
"56","up","up","mmu00071","Fatty acid degradation","10/531","52/8943",0.000823351823946054,0.0126796180887692,0.0106169050982517,"97212/74205/12896/12894/14081/11671/433256/110446/231086/11370",10
"57","up","up","mmu04920","Adipocytokine signaling pathway","12/531","71/8943",0.000868715696942575,0.0127411635551578,0.0106684383835053,"105787/74205/19013/12894/14081/20525/433256/56717/20181/68465/108079/19079",12
"58","up","up","mmu04213","Longevity regulating pathway - multiple species","11/531","62/8943",0.00093185528620567,0.0130459740068794,0.0109236624459516,"16337/105787/11515/56717/18709/18747/11514/20480/74370/108079/19079",11
"59","up","up","mmu04714","Thermogenesis","26/531","231/8943",0.00120734199750917,0.0161678841405576,0.0135377020315674,"26408/105787/74205/22084/239985/12896/20111/69893/20588/16890/11515/12894/14081/433256/56717/83379/208677/18747/11514/208647/74370/67071/277250/20112/108079/19079",26
"60","up","up","mmu04070","Phosphatidylinositol signaling system","14/531","96/8943",0.00150408970102982,0.0193024844965493,0.0161623674014169,"101490/227399/74302/170749/12315/225326/84095/17772/16438/20975/18709/53332/110911/217837",14
"61","up","up","mmu01230","Biosynthesis of amino acids","12/531","79/8943",0.00225629973967246,0.0267812437610212,0.022424486402769,"12974/108682/18641/110639/18563/11429/14719/217214/11428/15926/227231/21881",12
"62","up","up","mmu00630","Glyoxylate and dicarboxylate metabolism","7/531","32/8943",0.00229135225648668,0.0267812437610212,0.022424486402769,"104174/12974/76238/11429/11428/110446/17448",7
"63","up","up","mmu04390","Hippo signaling pathway","19/531","157/8943",0.00234770643359601,0.0267812437610212,0.022424486402769,"12695/12385/12550/73699/27494/56217/18762/211652/11789/56637/12161/16798/21813/93742/22419/12234/71978/12156/217325",19
"64","up","up","mmu00500","Starch and sucrose metabolism","7/531","34/8943",0.00330398950297772,0.0363438845327549,0.0304314822642685,"14387/110078/77559/72157/232714/27357/209558",7
"65","up","up","mmu00620","Pyruvate metabolism","8/531","44/8943",0.00389359894790754,0.0399742825318507,0.0334712892013104,"74156/107476/18563/76238/11671/110446/14194/17448",8
"66","up","up","mmu04962","Vasopressin-regulated water reabsorption","8/531","44/8943",0.00389359894790754,0.0399742825318507,0.0334712892013104,"67665/13191/11515/234663/208677/18747/208647/68097",8
"67","up","up","mmu00061","Fatty acid biosynthesis","5/531","19/8943",0.0041980399429294,0.0417095581426534,0.0349242711720782,"74205/71147/107476/14081/433256",5
"68","up","up","mmu00051","Fructose and mannose metabolism","7/531","36/8943",0.00462635024131616,0.0445286210726681,0.0372847305632388,"29858/319801/18641/14120/75540/110119/225913",7
"69","up","up","mmu00220","Arginine biosynthesis","5/531","20/8943",0.00532858597312411,0.0497334690824916,0.0416428568872538,"108682/14719/217214/227231/14661",5
